team_name,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_rushing,Rush Yds,YPC,TD_rushing,20+_rushing,40+_rushing,Lng_rushing,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,Yds/Rec,TD_receiving,20+_receiving,40+_receiving,Lng_receiving,Rec 1st,Rec 1st%,Rec FUM,Rsh TD,Rec TD,Tot TD,2-PT,3rd Att,3rd Md,4th Att,4th Md,Rec 1st_downs,Rec 1st%_downs,Rush 1st_downs,Rush 1st%_downs,Scrm Plys
Commanders,486,323,66.5,6.9,3339,18,13,87.3,154,31.7,37,3,51T,55,375,257,1161,4.5,9,7,0,29,75,29.2,5,323,3339,10.3,18,37,3,51,154,47.7,4,9,18,28,2,157,60,17,8,154,47.7,75,29.2,798
Vikings,417,287,68.8,7.4,3079,22,6,101.8,147,35.2,46,5,62T,25,145,267,1032,3.9,5,2,0,31,54,20.2,9,287,3079,10.7,22,46,5,62,147,51.2,3,5,22,27,1,150,62,19,14,147,51.2,54,20.2,709
Lions,405,275,67.9,7.6,3075,18,8,96.9,151,37.3,49,5,46,21,121,328,1506,4.6,17,10,3,75T,80,24.4,4,275,3075,11.2,18,49,5,46,151,54.9,3,17,18,36,3,152,65,27,13,151,54.9,80,24.4,754
Cowboys,390,274,70.3,7.8,3049,23,7,105.4,147,37.7,47,4,60,23,163,307,1268,4.1,10,8,1,46,74,24.1,3,274,3049,11.1,23,47,4,60,147,53.6,5,10,23,39,3,151,72,15,7,147,53.6,74,24.1,720
Chiefs,383,256,66.8,6.9,2650,19,11,91.2,130,33.9,29,4,54,13,98,256,1102,4.3,4,5,1,48T,67,26.2,1,256,2650,10.4,19,29,4,54,130,50.8,5,4,19,23,0,129,59,10,5,130,50.8,67,26.2,652
Bills,382,266,69.6,7.5,2875,22,12,97.6,134,35.1,30,6,81T,14,76,292,1295,4.4,12,7,1,42,91,31.2,5,266,2875,10.8,22,30,6,81,134,50.4,5,12,22,35,3,133,64,11,6,134,50.4,91,31.2,688
Saints,382,248,64.9,6.6,2526,13,7,87.4,113,29.6,28,8,58T,24,152,277,1000,3.6,7,1,0,20T,64,23.1,2,248,2526,10.2,13,28,8,58,113,45.6,0,7,13,22,3,148,54,14,8,113,45.6,64,23.1,683
Bengals,380,252,66.3,6.3,2377,16,6,90.9,120,31.6,21,4,64T,27,199,209,809,3.9,4,3,0,22,52,24.9,0,252,2377,9.4,16,21,4,64,120,47.6,3,4,16,22,0,129,46,11,5,120,47.6,52,24.9,616
Dolphins,380,265,69.7,8.5,3244,23,11,103.9,157,41.3,42,8,69,18,106,292,1597,5.5,19,15,7,76T,74,25.3,12,265,3244,12.2,23,42,8,69,157,59.2,4,19,23,44,0,123,52,15,5,157,59.2,74,25.3,690
Panthers,378,233,61.6,5.4,2051,11,8,76.9,104,27.5,18,4,48T,39,307,235,923,3.9,2,3,0,26,59,25.1,3,233,2051,8.8,11,18,4,48T,104,44.6,3,2,11,16,1,145,54,23,13,104,44.6,59,25.1,652
