team_name,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,FGM_field-goals,Att,FG %_field-goals,FG Blk,field-goals_Lng,1-19_Att,1-19_Md,1-19_Pct,20-29_Att,20-29_Md,20-29_Pct,30-39_Att,30-39_Md,30-39_Pct,40-49_Att,40-49_Md,40-49_Pct,50-59_Att,50-59_Md,50-59_Pct,60+_Att,60+_Md,60+_Pct,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Avg,Ret_kickoff-returns,Yds_kickoff-returns,KRet TD_kickoff-returns,20+,40+,FC,FUM,kickoff-returns_Lng,Att_punting,Cmp,Cmp %,Yds/Att,Pass Yds,TD_punting,INT,Rate,1st,1st%,20+_punting,40+_punting,Sck,SckY,punting_Lng,Avg_punt-returns,Ret_punt-returns,Yds_punt-returns,PRet T_punt-returns,20+_punt-returns,40+_punt-returns,FC_punt-returns,FUM_punt-returns,punt-returns_Lng
Browns,26,89.7,15,93.8,0,0,26,29,89.7,0,58.0,0,0,0.0,6,6,100.0,4,4,100.0,12,9,75.0,7,7,100.0,0,0,0.0,54,3427,34,63,15,18.1,0,0,0,0,23.1,7,162,0,5,0,1,0,33.0,349,197,56.4,5.8,2028,8,13,65.4,93,26.6,22,6,29,197,59.0,8.2,29,238,0,1,0,16,2,21.0
Seahawks,25,80.6,20,100,0,0,25,31,80.6,0,55.0,0,0,0.0,3,3,100.0,11,10,90.9090909090909,9,8,88.88888888888889,8,4,50.0,0,0,0.0,56,3586,38,67.9,14,22.8,0,0,1,0,26.2,18,471,0,16,1,0,0,66.0,373,240,64.3,7.1,2650,12,9,86,120,32.2,32,5,27,210,64.0,11.2,21,235,0,3,0,11,2,32.0
Jets,23,95.8,8,88.9,0,1,23,24,95.8,0,53.0,0,0,0.0,4,4,100.0,9,9,100.0,8,8,100.0,3,2,66.66666666666666,0,0,0.0,46,2914,38,82.6,5,16.4,1,0,0,0,21.6,14,302,0,8,0,1,1,30.0,376,225,59.8,5.8,2174,7,10,71.2,98,26.1,22,3,47,339,68.0,10,17,170,1,1,1,17,2,65.0
Cowboys,22,100,33,91.7,0,0,22,22,100,0,58.0,0,0,0.0,9,9,100.0,7,7,100.0,1,1,100.0,5,5,100.0,0,0,0.0,72,4687,67,93.1,3,31,0,0,1,0,22.9,12,275,0,6,2,0,0,63.0,390,274,70.3,7.8,3049,23,7,105.4,147,37.7,47,4,23,163,60.0,5.8,16,92,0,0,0,18,1,15.0
Broncos,22,91.7,15,88.2,1,0,22,24,91.7,1,52.0,0,0,0.0,7,7,100.0,10,9,90.0,3,3,100.0,4,3,75.0,0,0,0.0,51,3218,46,90.2,3,17.7,2,0,0,0,33.6,7,235,1,6,1,1,0,99.0,297,205,69,7,2065,19,4,104.3,94,31.6,24,5,32,155,60.0,20.7,9,186,0,4,1,6,1,45.0
Texans,22,91.7,20,100,1,0,22,24,91.7,0,50.0,0,0,0.0,8,8,100.0,10,10,100.0,4,3,75.0,2,1,50.0,0,0,0.0,53,3344,32,60.4,19,22.2,0,0,0,0,25.9,11,285,1,6,1,1,0,85.0,357,225,63,8.3,2970,18,5,100.2,144,40.3,49,6,23,193,75.0,7.9,18,143,0,1,0,12,1,20.0
Falcons,21,95.4,14,93.3,0,0,21,22,95.4,0,54.0,0,0,0.0,6,6,100.0,6,6,100.0,7,6,85.71428571428571,3,3,100.0,0,0,0.0,47,3043,39,83,7,21.9,0,0,0,0,16.7,9,150,0,2,0,0,0,29.0,322,203,63,7,2260,9,7,84.1,110,34.2,27,5,30,211,60.0,5.3,15,79,0,0,0,13,0,16.0
Titans,21,95.4,15,100,0,0,21,22,95.4,0,53.0,0,0,0.0,6,6,100.0,8,8,100.0,4,4,100.0,4,3,75.0,0,0,0.0,44,2719,25,56.8,16,21.5,2,0,0,0,18.9,10,189,0,4,0,6,0,29.0,289,176,60.9,7.1,2061,9,8,81.4,86,29.8,32,9,35,251,70.0,7.9,25,198,0,1,0,7,2,21.0
Rams,21,75,14,93.3,0,0,21,28,75,1,54.0,0,0,0.0,4,4,100.0,5,5,100.0,11,8,72.72727272727273,8,4,50.0,0,0,0.0,49,3091,41,83.7,7,30.3,1,0,0,0,18.7,6,112,0,3,0,5,0,36.0,347,201,57.9,7,2432,9,9,77.4,113,32.6,39,3,22,168,49.0,7.1,18,128,0,1,0,11,1,29.0
Jaguars,20,90.9,22,100,0,0,20,22,90.9,1,56.0,0,0,0.0,2,2,100.0,7,7,100.0,8,7,87.5,5,4,80.0,0,0,0.0,53,3402,39,73.6,10,26.9,0,0,0,1,24.1,11,265,0,8,1,0,0,53.0,339,231,68.1,7.1,2408,11,6,91.9,110,32.4,30,3,25,154,56.0,9.9,15,149,0,1,1,11,1,48.0
Ravens,19,82.6,33,97.1,0,0,19,23,82.6,1,50.0,0,0,0.0,6,6,100.0,6,6,100.0,6,6,100.0,4,1,25.0,1,0,0.0,65,4173,55,84.6,9,22.1,0,0,0,0,19.1,8,153,0,4,0,4,0,28.0,310,215,69.4,8,2479,13,5,100.5,107,34.5,36,6,27,153,80.0,13,21,273,0,4,1,18,0,70.0
Bears,19,95,21,95.4,0,0,19,20,95,0,54.0,0,0,0.0,4,4,100.0,7,7,100.0,4,3,75.0,5,5,100.0,0,0,0.0,55,3431,44,80,8,23.5,2,0,0,0,20.8,13,271,0,8,0,2,0,37.0,328,210,64,6.8,2229,15,12,83.8,113,34.4,26,3,32,201,58.0,7.9,10,79,0,0,0,15,0,14.0
Chiefs,19,100,24,100,0,0,19,19,100,0,60.0,0,0,0.0,3,3,100.0,10,10,100.0,3,3,100.0,2,2,100.0,1,1,100.0,49,3206,47,95.9,2,25,0,0,0,0,17,4,68,0,2,0,0,0,20.0,383,256,66.8,6.9,2650,19,11,91.2,130,33.9,29,4,13,98,54.0,7.6,27,204,0,3,1,11,4,50.0
