NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
Panthers,1,10,0,0.091,173,292,-119,1 - 4 - 0,0 - 6 - 0,0 - 2 - 0,0.000,0 - 7 - 0,0.000,1 - 3 - 0,4L,1 - 4 - 0
Cardinals,2,10,0,0.167,206,321,-115,2 - 4 - 0,0 - 6 - 0,0 - 4 - 0,0.000,2 - 6 - 0,0.250,0 - 4 - 0,2L,1 - 4 - 0
Patriots,2,9,0,0.182,148,248,-100,1 - 5 - 0,1 - 4 - 0,2 - 2 - 0,0.500,2 - 4 - 0,0.333,0 - 5 - 0,4L,1 - 4 - 0
Bears,4,8,0,0.333,242,296,-54,2 - 3 - 0,2 - 5 - 0,1 - 3 - 0,0.250,3 - 5 - 0,0.375,1 - 3 - 0,1W,2 - 3 - 0
Chargers,4,7,0,0.364,269,258,11,2 - 4 - 0,2 - 3 - 0,1 - 1 - 0,0.500,2 - 4 - 0,0.333,2 - 3 - 0,3L,2 - 3 - 0
Giants,4,8,0,0.333,159,292,-133,2 - 3 - 0,2 - 5 - 0,2 - 2 - 0,0.500,3 - 4 - 0,0.429,1 - 4 - 0,2W,2 - 3 - 0
Jets,4,7,0,0.364,163,238,-75,2 - 4 - 0,2 - 3 - 0,1 - 3 - 0,0.250,2 - 6 - 0,0.250,2 - 1 - 0,4L,1 - 4 - 0
Buccaneers,4,7,0,0.364,212,227,-15,2 - 3 - 0,2 - 4 - 0,1 - 1 - 0,0.500,3 - 4 - 0,0.429,1 - 3 - 0,2L,1 - 4 - 0
Titans,4,7,0,0.364,185,224,-39,4 - 1 - 0,0 - 6 - 0,0 - 2 - 0,0.000,2 - 5 - 0,0.286,2 - 2 - 0,1W,2 - 3 - 0
Commanders,4,8,0,0.333,246,350,-104,1 - 4 - 0,3 - 4 - 0,0 - 5 - 0,0.000,2 - 7 - 0,0.222,2 - 1 - 0,3L,1 - 4 - 0
Falcons,5,6,0,0.455,213,232,-19,4 - 2 - 0,1 - 4 - 0,3 - 0 - 0,1.000,4 - 4 - 0,0.500,1 - 2 - 0,1W,2 - 3 - 0
Bengals,5,6,0,0.455,212,242,-30,3 - 3 - 0,2 - 3 - 0,0 - 4 - 0,0.000,1 - 6 - 0,0.143,4 - 0 - 0,3L,2 - 3 - 0
Packers,5,6,0,0.455,231,224,7,3 - 2 - 0,2 - 4 - 0,2 - 2 - 0,0.500,4 - 3 - 0,0.571,1 - 3 - 0,2W,3 - 2 - 0
Raiders,5,7,0,0.417,202,256,-54,4 - 2 - 0,1 - 5 - 0,1 - 2 - 0,0.333,3 - 5 - 0,0.375,2 - 2 - 0,2L,2 - 3 - 0
Rams,5,6,0,0.455,232,234,-2,2 - 3 - 0,3 - 3 - 0,4 - 1 - 0,0.800,4 - 4 - 0,0.500,1 - 2 - 0,2W,2 - 3 - 0
Saints,5,6,0,0.455,229,222,7,2 - 2 - 0,3 - 4 - 0,1 - 2 - 0,0.333,2 - 4 - 0,0.333,3 - 2 - 0,2L,2 - 3 - 0
Bills,6,6,0,0.500,328,227,101,5 - 2 - 0,1 - 4 - 0,2 - 2 - 0,0.500,3 - 5 - 0,0.375,3 - 1 - 0,1L,2 - 3 - 0
Broncos,6,5,0,0.545,246,280,-34,4 - 3 - 0,2 - 2 - 0,1 - 2 - 0,0.333,3 - 4 - 0,0.429,3 - 1 - 0,5W,5 - 0 - 0
Texans,6,5,0,0.545,259,232,27,4 - 2 - 0,2 - 3 - 0,1 - 2 - 0,0.333,3 - 3 - 0,0.500,3 - 2 - 0,1L,3 - 2 - 0
Colts,6,5,0,0.545,269,268,1,2 - 4 - 0,4 - 1 - 0,2 - 2 - 0,0.500,4 - 3 - 0,0.571,2 - 2 - 0,3W,3 - 2 - 0
Vikings,6,6,0,0.500,263,242,21,2 - 4 - 0,4 - 2 - 0,2 - 1 - 0,0.667,6 - 3 - 0,0.667,0 - 3 - 0,2L,3 - 2 - 0
Seahawks,6,5,0,0.545,229,249,-20,4 - 2 - 0,2 - 3 - 0,1 - 3 - 0,0.250,5 - 3 - 0,0.625,1 - 2 - 0,2L,2 - 3 - 0
Browns,7,4,0,0.636,239,209,30,5 - 1 - 0,2 - 3 - 0,3 - 2 - 0,0.600,5 - 3 - 0,0.625,2 - 1 - 0,1L,3 - 2 - 0
Steelers,7,4,0,0.636,182,205,-23,4 - 2 - 0,3 - 2 - 0,3 - 1 - 0,0.750,5 - 3 - 0,0.625,2 - 1 - 0,1W,3 - 2 - 0
Cowboys,8,3,0,0.727,347,185,162,5 - 0 - 0,3 - 3 - 0,3 - 1 - 0,0.750,5 - 3 - 0,0.625,3 - 0 - 0,3W,4 - 1 - 0
Lions,8,3,0,0.727,294,258,36,4 - 2 - 0,4 - 1 - 0,2 - 1 - 0,0.667,5 - 2 - 0,0.714,3 - 1 - 0,1L,3 - 2 - 0
Jaguars,8,3,0,0.727,254,225,29,3 - 3 - 0,5 - 0 - 0,4 - 1 - 0,0.800,6 - 2 - 0,0.750,2 - 1 - 0,2W,4 - 1 - 0
Chiefs,8,3,0,0.727,256,181,75,4 - 2 - 0,4 - 1 - 0,3 - 1 - 0,0.750,6 - 1 - 0,0.857,2 - 2 - 0,1W,3 - 2 - 0
Dolphins,8,3,0,0.727,339,251,88,5 - 0 - 0,3 - 3 - 0,3 - 1 - 0,0.750,6 - 2 - 0,0.750,2 - 1 - 0,2W,3 - 2 - 0
49ers,8,3,0,0.727,310,170,140,4 - 1 - 0,4 - 2 - 0,3 - 0 - 0,1.000,6 - 1 - 0,0.857,2 - 2 - 0,3W,3 - 2 - 0
